date_time,latitude,longitude,Depth  (km),mag,Location
2023-12-11 11:55:00,8.74,126.31,25,2.2,007  km S 11° E of Marihatag (Surigao Del Sur)
2023-12-11 11:49:00,9.29,126.73,20,3.6,060  km N 89° E of Cortes (Surigao Del Sur)
2023-12-11 11:47:00,9.38,126.77,16,3.9,064  km N 80° E of Cortes (Surigao Del Sur)
2023-12-11 11:25:00,8.48,126.66,32,2.9,038  km N 71° E of Hinatuan (Surigao Del Sur)
2023-12-11 11:14:00,9.2,126.93,15,3.2,075  km N 70° E of Bayabas (Surigao Del Sur)
2023-12-11 10:52:00,8.67,125.94,22,1.6,008  km N 20° E of Prosperidad (Agusan Del Sur)
2023-12-11 10:46:00,8.6,126.54,22,1.3,034  km N 40° E of Hinatuan (Surigao Del Sur)
2023-12-11 10:45:00,8.61,126.24,21,1.4,015  km N 57° E of Barobo (Surigao Del Sur)
2023-12-11 10:36:00,8.79,127.4,35,3.4,121  km S 83° E of Cagwait (Surigao Del Sur)
2023-12-11 10:30:00,8.38,126.98,21,2.5,070  km N 89° E of Hinatuan (Surigao Del Sur)
2023-12-11 10:26:00,8.76,127.33,33,3.4,114  km S 81° E of Cagwait (Surigao Del Sur)
2023-12-11 10:21:00,8.45,126.75,10,2.3,046  km N 79° E of Hinatuan (Surigao Del Sur)
2023-12-11 10:12:00,9.34,126.71,1,2.6,057  km N 83° E of Cortes (Surigao Del Sur)
2023-12-11 10:05:00,8.34,126.31,26,2.3,034  km S 83° E of Hinatuan (Surigao Del Sur)
2023-12-11 09:55:00,8.81,127.51,8,4.3,133  km S 85° E of Cagwait (Surigao Del Sur)
2023-12-11 09:15:00,8.67,126.94,19,2.8,074  km N 64° E of Hinatuan (Surigao Del Sur)
2023-12-11 09:01:00,8.74,127.32,33,2.8,113  km S 80° E of Cagwait (Surigao Del Sur)
2023-12-11 09:00:00,8.47,126.67,26,2.5,038  km N 72° E of Hinatuan (Surigao Del Sur)
2023-12-11 08:45:00,8.78,127.4,28,3.5,122  km S 83° E of Cagwait (Surigao Del Sur)
2023-12-11 08:40:00,9.21,126.34,33,1.5,018  km S 64° E of Cortes (Surigao Del Sur)
2023-12-11 08:25:00,8.77,127.3,32,3.2,111  km S 81° E of Cagwait (Surigao Del Sur)
2023-12-11 08:17:00,9.08,126.65,20,2.7,043  km N 65° E of Cagwait (Surigao Del Sur)
2023-12-11 08:15:00,8.3,125.94,2,3.2,012  km S 36° W of Rosario (Agusan Del Sur)
2023-12-11 08:11:00,8.45,126.31,32,1.5,010  km N 18° W of Hinatuan (Surigao Del Sur)
2023-12-11 08:09:00,8.79,127.36,24,2.7,118  km S 83° E of Cagwait (Surigao Del Sur)
2023-12-11 08:02:00,8.72,126.92,2,3.6,075  km N 58° E of Hinatuan (Surigao Del Sur)
2023-12-11 07:59:00,8.39,126.66,30,2.2,036  km N 86° E of Hinatuan (Surigao Del Sur)
2023-12-11 07:54:00,8.41,126.54,25,2.0,023  km N 78° E of Hinatuan (Surigao Del Sur)
2023-12-11 07:52:00,9.18,126.98,1,2.3,080  km N 69° E of Cagwait (Surigao Del Sur)
2023-12-11 07:37:00,8.67,127.26,32,2.0,107  km N 71° E of Hinatuan (Surigao Del Sur)
